model,perplexity_avg,keyword_coverage_avg,entity_coverage_avg,topic_coverage_avg,blanc_score_avg,reduction_factor_avg
Claude-3-haiku,41728.04684937507,0.34482128982128984,0.22541698497580845,0.43333333333333335,0.2601269417723098,0.4731798030311986
Fietje-2,36766.88234060087,0.32961538461538464,0.12861705288175876,0.5333333333333333,0.19697823329100372,0.5329539685836134
GPT-4o,43169.21056449105,0.3380749805749806,0.2922820643408878,0.26666666666666666,0.22702061773512439,0.4438959344962093
Geitje-7B-Ultra,40307.02429809569,0.2110159285159285,0.14215686274509803,0.16666666666666666,0.1407838705812238,0.47376015341497396
Granite-3.1-2b-instruct,39731.16556225133,0.38351787101787105,0.15163292589763175,0.3,0.2506108834341174,0.4958387826099744
Llama-3-ChocoLlama-8B,7982421.638407089,0.4156002331002331,0.11802902979373564,0.5,0.2261218250580488,0.8829755146315885
Llama-3.1-8B,1033322.371251302,0.41728826728826723,0.31950174008997534,0.5,0.2464882040933992,0.3802686385024765
Mistral-7B,1314773.768971802,0.3949902874902875,0.1140819964349376,0.43333333333333335,0.21712938386133543,0.3066363019350855
Mistral-Large-24.11,40067.40382065833,0.39182206682206683,0.28037942449707154,0.5666666666666667,0.27208754872803226,0.4345735835672761
Schaapje-2B-Chat-V1.0,39974.91941768191,0.27631507381507375,0.18098951701892876,0.23333333333333336,0.17112984006560517,0.4292666258439053
Teuken-7B-Instruct-Research-v0.4,34552.55505268898,0.3594502719502719,0.17373737373737375,0.3666666666666667,0.2008992856385978,0.3968260680279368
